Name,Market,Price,CategoryName,CaloriesPer100g,ProteinPer100g,CarbsPer100g,FatPer100g
Banvit 1 kg Piliç Kanat,Carrefoursa,"142,00 TL",et-tavuk-ve-balik,165,31,0,3.6
Lezita 1 kg Tabaklı Izgara Üst Kanat,Carrefoursa,"179,90 TL",et-tavuk-ve-balik,165,31,0,3.6
Torku 1 kg Blok Kavurma,Bim,"599,00 TL",et-tavuk-ve-balik,250,26,0,20
"Banvit 1,5 kg But Kalçalı Piliç",Carrefoursa,"107,70 TL",et-tavuk-ve-balik,165,31,0,3.6
Hak-Et 500 gr Yağsız Dana Kıyma,Hakmarekspress,"172,00 TL",et-tavuk-ve-balik,250,26,0,20
1 kg Kasap Köfte,Carrefoursa,"549,90 TL",et-tavuk-ve-balik,250,26,0,20
1 kg Dana Kıyma %14-20 Yağ,Carrefoursa,"529,90 TL",et-tavuk-ve-balik,250,26,0,20
1 kg Dana Kuşbaşı,Carrefoursa,"579,90 TL",et-tavuk-ve-balik,250,26,0,20
Beşler 500 gr Dondurulmuş Kuşbaşı Dana,a101,"157,90 TL",et-tavuk-ve-balik,250,26,0,20
Banvit 1 kg Bonfile Göğüs,Tarım Kredi Kooperatifi,"199,00 TL",et-tavuk-ve-balik,165,31,0,3.6
Banvit 1 kg Piliç Baget,a101,"79,50 TL",et-tavuk-ve-balik,165,31,0,3.6
Tarım Kredi 1 kg Dana Donuk İlikli Kemik,Tarım Kredi Kooperatifi,"75,90 TL",et-tavuk-ve-balik,250,26,0,20
Yeşilküre 1 kg Organik Bütün Tavuk,Carrefoursa,"449,00 TL",et-tavuk-ve-balik,165,31,0,3.6
Zencefil Organik 20 mt Yerli Sucuk Bağırsağı,PttAVM,"1.124,46 TL",et-tavuk-ve-balik,80,1.8,18.0,0.8
Gedik 1 kg Piliç Ciğer Yürek,Getir Büyük,"30,00 TL",et-tavuk-ve-balik,165,31,0,3.6
Torku 500 gr Dana Kangal Sucuk,Bim,"185,00 TL",et-tavuk-ve-balik,380,14,2,35
Pınar 430 gr Soyulmuş Dana Sosis,PınarOnline,"209,00 TL",et-tavuk-ve-balik,250,26,0,20
1 kg 300-400 Çipura,Carrefoursa,"279,00 TL",et-tavuk-ve-balik,84,18,0,1
Cumhuriyet Sucukları 500 gr Dana Sucuk,afyongıda,"485,00 TL",et-tavuk-ve-balik,432,16,2,40
Sultan 250 gr Dana Biftek,Getir Büyük,"197,50 TL",et-tavuk-ve-balik,250,26,0,20
